,date,all,F,M,F10s,F30s,F40s,F20s,F19-24,F25-29,M20s,M19-24,M25-29
862,2018-05-12,993.4318609100912,719.6471652039999,134.26091660090515,105.28834643950002,130.49715355200001,52.228404396,431.21863152800006,284.18363634300005,147.034995185,86.193059778,58.01514273,28.177917048
863,2018-05-13,1117.6109301469558,801.65018252,140.89106071663758,126.63064914569999,117.8683796784,40.93576830000001,513.221453803,356.28987744299997,156.93157636,79.562648124,48.069648900000004,31.492999224
864,2018-05-14,1198.9316598922449,779.0285484960001,200.56252384400392,65.4495049453,115.06199083199999,49.405245372,547.1527182340001,360.531398349,186.621319885,84.53514455999999,46.4120748,38.12306976
865,2018-05-15,1111.0175260287817,712.577759564,233.71341050844055,73.98644028439999,106.6428242928,52.228404396,475.04753108899996,319.52977245899996,155.51775863,129.28919063400002,72.93330963000001,56.355881004
866,2018-05-16,807.712967267285,651.782495144,145.8636688034369,55.4898302133,110.8523834976,47.99366586,434.045789838,274.28662566300005,159.759164175,72.93264593399999,51.384846329999995,21.547799603999998
867,2018-05-17,825.2957247414952,664.507193284,172.3844113521411,58.33545156530001,99.626828112,57.87472244400001,446.770388333,284.18363634300005,162.58675198999998,112.714212366,82.87875423,29.835458136
868,2018-05-18,818.702320623321,680.0594216679999,165.7541011506342,54.067019537300006,113.65882047359999,56.463142932000004,455.2534171425,289.8390296925,165.41438745,106.083266166,53.04242043,53.040845736
869,2018-05-19,692.3254500137317,582.5041759679999,116.0278541968665,92.48305035550001,82.7884950336,35.28945025200001,371.8382188865,260.1481905015,111.69002838499999,82.87784555399999,51.384846329999995,31.492999224
870,2018-05-20,837.3838055376872,740.854686088,112.71278213900028,110.9796604266,119.2715981664,53.639983908,456.6682411825,320.9436449025,135.72459628000001,74.589925824,43.0969266,31.492999224
871,2018-05-21,731.8869142000141,593.814760968,164.0965651217011,76.8320616364,77.1757173408,36.701029764000005,402.9426033745,282.7697638995,120.17283947499999,86.193026766,56.35756863,29.835458136
872,2018-05-22,953.8703967238091,853.962392184,129.2883085141058,149.3956912448,102.4332169584,74.813676588,527.359985389,370.428409029,156.93157636,91.165782078,62.98786503,28.177917048
873,2018-05-23,979.1459787411745,810.1332372759999,218.79558624804258,125.2078384697,102.4332169584,53.639983908,528.7735436885,366.1867916985,162.58675198999998,165.75601600800002,114.37271136000001,51.383304648
874,2018-05-24,887.9346230800054,779.0285484960001,180.67209149680664,91.06023967950001,133.3035423984,57.87472244400001,494.84095286950003,323.77138978950006,171.06956308,102.76873475400001,71.27573553,31.492999224
875,2018-05-25,861.560313622484,633.4025045039999,192.2748436993384,93.90586103150001,109.4492131392,39.524188788000004,390.2174540795,257.3204456145,132.897008465,119.34454177799999,91.16662473,28.177917048
876,2018-05-26,815.4054453180278,648.954732888,154.15134894810245,110.9796604266,94.01405041919999,47.99366586,395.874330889,303.977464854,91.896866035,86.19288082199999,51.384846329999995,34.808034492
877,2018-05-27,919.803609215545,745.0963294719999,127.63077248517271,147.97288056879998,96.8204392656,55.05156342000001,445.35782927500003,318.11599644,127.24183283500001,82.878170454,62.98786503,19.890305424
878,2018-05-28,1073.6538632152242,757.821027612,187.30223561253905,93.90586103150001,116.46520932,50.816824884,496.25461352750006,320.9436449025,175.31096862500002,130.94712264599997,87.85147652999999,43.095646116
879,2018-05-29,1151.67771765522,759.234676728,220.45312227697568,66.8723156213,129.093935064,71.99051756400002,489.18677054700004,352.048356537,137.13841401000002,107.74119817800002,67.96058733000001,39.780610848
880,2018-05-30,1316.5169785185228,829.9271090440001,218.79558624804258,83.9461150164,134.7067127568,81.87157414800001,523.1182526974999,361.94527079249997,161.17298190499997,81.220142304,48.069648900000004,33.150493403999995
881,2018-05-31,1291.24174299357,771.959374868,250.2889368835461,78.2548723124,137.5131016032,52.228404396,497.669030837,336.496048932,161.17298190499997,144.207844596,102.76969265999999,41.438151936000004
882,2018-06-01,1047.2795537577028,687.128595296,179.01455546787352,103.86553576349999,98.22365775359998,60.69788146800001,424.1483724275,248.83740380250003,175.31096862500002,94.480377192,48.069648900000004,46.410728292
883,2018-06-02,973.6513020631563,715.4055218199999,140.89106071663758,123.7849565106,112.25560198559998,45.170506836,434.04600755750005,279.94201901250005,154.10398854499996,81.21960543600001,28.178759700000004,53.040845736
884,2018-06-03,1014.3114936895948,783.2701918800001,152.49381291916933,167.89230131590003,113.65882047359999,45.170506836,456.6675750215,301.1498163915,155.51775863,81.22007628,44.754500699999994,36.46557558
885,2018-06-04,1325.308530501834,1027.8653626999999,240.34355462417298,233.34187754430002,144.529097784,83.28315366000001,566.9473510415,398.70537577650003,168.241975265,117.68667578999998,79.56360602999999,38.12306976
886,2018-06-05,1797.8482993644957,1515.642055224,253.60400894141233,448.1871450175,148.73870511840002,98.810490744,821.4375690674999,582.5057078474999,238.93186121999994,111.056167422,64.64543913,46.410728292
887,2018-06-06,1548.3910869581978,1300.737460044,198.9049878150708,396.9657468322,130.49715355200001,110.10312684000002,663.087554523,453.845436828,209.24211769500002,107.741019222,61.330290930000004,46.410728292
888,2018-06-07,1067.0601126046377,708.336348192,223.7681943348419,101.0199144115,133.3035423984,63.52104049200001,410.0118691675,289.8390296925,120.17283947499999,121.002115878,92.82419883,28.177917048
889,2018-06-08,1084.6432165712604,716.819402948,182.32962752573974,129.4762704977,109.4492131392,47.99366586,424.14871851050003,261.56196652050005,162.58675198999998,72.932271804,39.7817784,33.150493403999995
890,2018-06-09,1087.9397453841411,771.959374868,159.1239570349018,138.0131345537,116.46520932,63.52104049200001,453.839775421,296.908199061,156.93157636,86.192506692,39.7817784,46.410728292
891,2018-06-10,907.7155284193528,685.714714168,140.89106071663758,125.2078384697,103.8364354464,40.93576830000001,415.666009779,262.975838964,152.69017081499996,81.21978439200001,34.80905610000001,46.410728292
892,2018-06-11,1137.391835486303,725.302457704,193.9323797282715,86.79173636840001,120.67476852480002,60.69788146800001,451.012460039,303.977464854,147.034995185,107.741019222,61.330290930000004,46.410728292
893,2018-06-12,1017.6083689948879,721.0610463319999,182.32962752573974,83.9461150164,105.23960580480001,57.87472244400001,473.63375507,318.11599644,155.51775863,91.16542416600001,49.727272230000004,41.438151936000004
894,2018-06-13,1040.6858031471163,784.6840730079999,177.35701943894043,122.3621458346,133.3035423984,64.932620004,463.7374463279999,325.18526223299995,138.552184095,84.534998616,41.4393525,43.095646116
895,2018-06-14,954.9694706563778,661.679431028,159.1239570349018,72.56362960839999,101.0300466,55.05156342000001,431.2193524025,305.3913372975,125.828015105,87.85042191,51.384846329999995,36.46557558
896,2018-06-15,927.4960872662875,654.6102574,152.49381291916933,73.98644028439999,84.1917135216,38.112609276,458.081338038,299.735943948,158.34539408999998,87.850713798,61.330290930000004,26.520422868
897,2018-06-16,889.0336970125741,634.816385632,140.89106071663758,110.9796604266,98.22365775359998,40.93576830000001,383.14818828650004,250.25117982150002,132.897008465,67.959549504,34.80905610000001,33.150493403999995
